gene,tpm
TMEM69,60.65
IPP,10.62
MAST2,11.45
PIK3R3,1.403
TSPAN1,0.08673
POMGNT1,14.71
LURAP1,0.1092
RAD54L,28.37
LRRC41,27.46
NSUN4,9.449
FAAH,3.425
LINC01398,0.0
DMBX1,0.0
MKNK1-AS1,0.7904
KNCN,0.0
MKNK1,18.97
MOB3C,17.03
ATPAF1,33.27
TEX38,0.1416
EFCAB14,66.57
CYP4B1,0.04244
CYP4Z2P,0.0
CYP4A11,0.0
CYP4X1,0.08053
CYP4Z1,0.0
LINC00853,0.2141
PDZK1IP1,0.0
TAL1,0.0
STIL,18.27
CMPK1,146.6
FOXE3,0.06905
FOXD2-AS1,3.598
FOXD2,0.673
TRABD2B,0.02064
SLC5A9,0.0
SPATA6,0.09357
AGBL4,0.009166
BEND5,8.989
ELAVL4,0.0
DMRTA2,0.04242
FAF1,15.75
CDKN2C,14.86
RNF11,42.85
TTC39A,0.1802
EPS15,78.84
OSBPL9,105.9
NRDC,77.12
RAB3B,0.6603
TXNDC12,48.34
BTF3L4,31.04
ZFYVE9,2.168
CC2D1B,17.65
ORC1,19.24
PRPF38A,40.76
GPX7,2.184
COA7,13.5
ZYG11B,9.528
ZYG11A,0.4286
ECHDC2,21.25
SCP2,38.09
PODN,0.1647
SLC1A7,0.03953
CPT2,16.7
LRP8,19.93
SLC25A3P1,0.0
DMRTB1,0.0
GLIS1,0.06592
NDC1,32.42
YIPF1,25.55
DIO1,0.2446
HSPB11,21.71
LRRC42,28.94
TMEM59,28.23
TCEANC2,8.503
CYB5RL,7.717
MRPL37,105.3
SSBP3,20.61
SSBP3-AS1,1.127
ACOT11,0.06074
FAM151A,0.0
MROH7,0.04601
TTC4,32.87
PARS2,7.227
TTC22,1.002
LEXM,0.0
DHCR24,51.29
TMEM61,0.0
BSND,0.0
PCSK9,0.0
USP24,25.42
PLPP3,0.4399
PRKAA2,0.0
C8A,0.0
C8B,0.0
DAB1,0.04771
DAB1-AS1,0.0
OMA1,18.38
TACSTD2,1.018
MYSM1,39.97
JUN,30.53
FGGY,1.105
HOOK1,2.682
CYP2J2,0.3889
C1orf87,0.0
NFIA,0.06291
NFIA-AS2,0.0
TM2D1,18.19
PATJ,6.586
L1TD1,0.1098
KANK4,0.02288
USP1,55.47
DOCK7,5.777
ANGPTL3,0.1694
ATG4C,20.45
LINC00466,0.0
FOXD3-AS1,0.4653
FOXD3,0.2869
ALG6,11.34
ITGB3BP,18.28
EFCAB7,7.022
PGM1,42.45
ROR1,0.163
ROR1-AS1,0.2702
UBE2U,0.0
CACHD1,0.09049
RAVER2,1.906
JAK1,277.8
LINC01359,0.04714
DNAJC6,0.0
LEPROT,17.56
LEPR,0.5555
PDE4B,27.55
SGIP1,0.01309
INSL5,0.0
MIER1,27.08
SLC35D1,12.53
IL23R,2.47
IL12RB2,112.3
SERBP1,273.1
GADD45A,45.59
GNG12,0.3764
DIRAS3,0.2773
WLS,0.2511
RPE65,0.0
DEPDC1,22.72
DEPDC1-AS1,0.1097
LRRC7,0.3073
PIN1P1,0.0
LRRC40,39.7
SRSF11,173.1
ANKRD13C,20.26
HHLA3,13.32
CTH,23.63
PTGER3,0.01417
ZRANB2-AS1,0.7489
ZRANB2,154.0
NEGR1,0.005354
NEGR1-IT1,0.0
LINC01360,0.0
LRRIQ3,0.799
FPGT,10.39
TNNI3K,0.6194
ERICH3,0.5231
ERICH3-AS1,0.0
CRYZ,113.6
TYW3,37.13
LHX8,0.0
SLC44A5,0.06515
ACADM,96.77
RABGGTB,55.34
