idx	gene_symbol
694	ARHGEF6
695	ARHGEF7
696	ARHGEF9
697	ARID1A
698	ARID1B
699	ARID3A
700	ARID3B
701	ARID4A
702	ARID4B
703	ARID5A
704	ARID5B
705	ARIH1
706	ARIH2
707	ARIH2OS
708	ARL1
709	ARL11
710	ARL15
711	ARL2
712	ARL2BP
713	ARL3
714	ARL4A
715	ARL4C
716	ARL4D
717	ARL5B
718	ARL6IP1
719	ARL6IP4
720	ARL6IP5
721	ARL6IP6
722	ARL8B
723	ARMC1
724	ARMC10
725	ARMC2
726	ARMC6
727	ARMC7
728	ARMC8
729	ARMC9
730	ARMCX1
731	ARMCX2
732	ARMCX3
733	ARMCX4
734	ARMCX5
735	ARMCX6
736	ARMT1
737	ARNT
738	ARNT2
739	ARNTL
740	ARPC1A
741	ARPC1B
742	ARPC2
743	ARPC4
744	ARPC5
745	ARPC5L
746	ARPP19
747	ARRB1
748	ARRB2
749	ARRDC1
750	ARRDC2
751	ARRDC3
752	ARRDC4
753	ARSA
754	ARSB
755	ARSD
756	ARSG
757	ARSJ
758	ARSK
759	ART1
760	ART3
761	ART4
762	ARTN
763	ARV1
764	ARVCF
765	AS3MT
766	ASAH1
767	ASAP1
768	ASAP2
769	ASAP3
770	ASB1
771	ASB11
772	ASB13
773	ASB16-AS1
774	ASB2
775	ASB3
776	ASB6
777	ASB7
778	ASB8
779	ASB9
780	ASCC1
781	ASCC2
782	ASCC3
783	ASCL2
784	ASF1A
785	ASF1B
786	ASGR1
787	ASGR2
788	ASH1L
789	ASH2L
790	ASIC1
791	ASIC2
792	ASL
793	ASNS
794	ASNSD1
795	ASPA
796	ASPH
797	ASPHD1
798	ASPHD2
799	ASPM
800	ASPN
801	ASPRV1
802	ASPSCR1
803	ASRGL1
804	ASS1
805	ASTE1
806	ASTN1
807	ASTN2
808	ASXL1
809	ASXL2
810	ATAD1
811	ATAD2
812	ATAD2B
813	ATAD3A
814	ATAD3C
815	ATAD5
816	ATAT1
817	ATE1
818	ATF1
819	ATF2
820	ATF3
821	ATF4
822	ATF5
823	ATF6
824	ATF7
825	ATF7IP
826	ATF7IP2
827	ATG10
828	ATG101
829	ATG12
830	ATG13
831	ATG14
832	ATG16L1
833	ATG2A
834	ATG2B
835	ATG3
836	ATG4A
837	ATG4B
838	ATG4C
839	ATG4D
840	ATG5
841	ATG7
842	ATG9A
843	ATG9B
844	ATIC
845	ATL1
846	ATL2
847	ATL3
848	ATM
849	ATMIN
850	ATN1
851	ATOH8
852	ATOX1
853	ATP10A
854	ATP10B
855	ATP10D
856	ATP11A
857	ATP11B
858	ATP11C
859	ATP12A
860	ATP13A1
861	ATP13A2
862	ATP1A1
863	ATP1A2
864	ATP1B1
865	ATP1B2
866	ATP1B3
867	ATP2A1
868	ATP2A2
869	ATP2A3
870	ATP2B1
871	ATP2B2
872	ATP2B4
873	ATP2C1
874	ATP6AP1
875	ATP6AP2
876	ATP6V0A1
877	ATP6V0A2
878	ATP6V0B
879	ATP6V0D1
880	ATP6V0E1
881	ATP6V0E2
882	ATP6V1A
883	ATP6V1B2
884	ATP6V1C1
885	ATP6V1D
886	ATP6V1E1
887	ATP6V1E2
888	ATP6V1G1
889	ATP6V1H
890	ATP7A
891	ATP7B
892	ATP8A1
893	ATP8A2
894	ATP8B2
895	ATP8B4
896	ATP9A
897	ATP9B
898	ATPAF2
899	ATR
900	ATRAID
901	ATRN
902	ATRNL1
903	ATRX
904	ATXN1
905	ATXN10
906	ATXN2
907	ATXN2L
908	ATXN3
909	ATXN7
910	ATXN7L2
911	ATXN7L3B
912	AUH
913	AUP1
914	AURKA
915	AURKAIP1
916	AURKB
917	AUTS2
918	AVEN
919	AVIL
920	AVL9
921	AVP
922	AVPI1
923	AVPR1A
924	AVPR2
925	AXIN1
926	AXIN2
927	AXL
928	AZGP1
929	AZI2
930	AZIN1
931	AZU1
932	B2M
933	B3GALNT1
934	B3GALNT2
935	B3GALT1
936	B3GALT2
937	B3GALT4
938	B3GALT6
939	B3GAT1
940	B3GAT3
941	B3GNT2
942	B3GNT5
943	B3GNT8
944	B3GNTL1
945	B4GALNT1
946	B4GALNT3
947	B4GALT1
948	B4GALT2
949	B4GALT3
950	B4GALT4
951	B4GALT5
952	B4GALT6
953	B4GALT7
954	B4GAT1
955	B9D1
956	B9D2
957	BAALC
958	BABAM1
959	BACE1
960	BACE2
961	BACH1
962	BACH2
963	BAD
964	BAG1
965	BAG2
966	BAG3
967	BAG4
968	BAG5
969	BAG6
970	BAHCC1
971	BAHD1
972	BAIAP2
973	BAIAP2L2
974	BAIAP3
975	BAK1
976	BAMBI
977	BANF1
978	BANF2
979	BANK1
980	BANP
981	BAP1
982	BARD1
983	BARX2
984	BASP1
985	BATF
986	BATF2
987	BATF3
988	BAX
989	BAZ1A
990	BAZ1B
991	BAZ2A
992	BAZ2B
993	BBOF1
994	BBS1
995	BBS10
996	BBS12
997	BBS2
998	BBS4
999	BBS7
1000	BBS9
1001	BBX
1002	BCAM
1003	BCAN
1004	BCAP29
1005	BCAP31
1006	BCAR3
1007	BCAS2
1008	BCAS3
1009	BCAS4
1010	BCAT1
1011	BCAT2
1012	BCCIP
1013	BCDIN3D
1014	BCKDHA
1015	BCKDHB
1016	BCKDK
1017	BCL10
1018	BCL11A
1019	BCL11B
1020	BCL2
1021	BCL2A1
1022	BCL2L1
1023	BCL2L11
1024	BCL2L12
1025	BCL2L13
1026	BCL2L2
1027	BCL6
1028	BCL7A
1029	BCL7B
1030	BCL7C
1031	BCL9
1032	BCL9L
1033	BCLAF1
1034	BCOR
1035	BCORL1
1036	BCORP1
1037	BCR
1038	BCRP3
1039	BCS1L
1040	BDH1
1041	BDH2
1042	BDKRB1
1043	BDKRB2
1044	BDNF
1045	BDP1
1046	BECN1
1047	BEGAIN
1048	BEND2
1049	BEND4
1050	BEND5
1051	BEST1
1052	BEST3
1053	BEST4
1054	BET1
1055	BET1L
1056	BEX1
1057	BEX2
1058	BEX3
1059	BEX4
1060	BEX5
1061	BFAR
1062	BFSP1
1063	BGN
1064	BHLHB9
1065	BHLHE40
1066	BHLHE41
1067	BHMT2
1068	BICC1
1069	BICD1
1070	BICD2
1071	BICDL1
1072	BID
1073	BIK
1074	BIN1
1075	BIN2
1076	BIN3
1077	BIRC2
1078	BIRC3
1079	BIRC5
1080	BIRC6
1081	BIVM
1082	BLCAP
1083	BLK
1084	BLM
1085	BLMH
1086	BLNK
1087	BLOC1S1
1088	BLOC1S2
1089	BLOC1S4
1090	BLOC1S6
1091	BLVRA
1092	BLVRB
1093	BLZF1
1094	BMF
1095	BMP1
1096	BMP2
1097	BMP2K
1098	BMP4
1099	BMP6
1100	BMP7
1101	BMP8B
1102	BMPR1A
1103	BMPR2
1104	BMS1
1105	BMX
1106	BNC1
1107	BNC2
1108	BNIP1
1109	BNIP2
1110	BNIP3
1111	BNIP3L
1112	BNIPL
1113	BOD1
1114	BOK
1115	BOLA1
1116	BORA
1117	BORCS6
1118	BPESC1
1119	BPGM
1120	BPHL
1121	BPIFA1
1122	BPIFA3
1123	BPIFA4P
1124	BPNT1
1125	BPTF
1126	BRAF
1127	BRAT1
1128	BRCA1
1129	BRCA2
1130	BRCC3
1131	BRD1
1132	BRD2
1133	BRD3
1134	BRD4
1135	BRD7
1136	BRD8
1137	BRD9
1138	BRF1
1139	BRF2
1140	BRI3
1141	BRI3BP
1142	BRINP2
1143	BRINP3
1144	BRIP1
1145	BRIX1
1146	BRK1
1147	BRMS1
1148	BRMS1L
1149	BRPF1
1150	BRSK1
1151	BRWD1
1152	BRWD3
1153	BSDC1
1154	BSG
1155	BSN
1156	BSPRY
1157	BST1
1158	BST2
1159	BTAF1
1160	BTBD1
1161	BTBD10
1162	BTBD2
1163	BTBD3
1164	BTBD6
1165	BTBD7
1166	BTBD9
1167	BTD
1168	BTF3
1169	BTF3L4
1170	BTG1
1171	BTG2
1172	BTG3
1173	BTK
1174	BTLA
